equipe;coureur;nation;Catégorie
Uno-X Mobility;BLUME LEVY William;Danemark;WT
Uno-X Mobility;BYSTRØM Sven Erik;Norvège;WT
Uno-X Mobility;CHARMIG Anthon;Danemark;WT
Uno-X Mobility;CORT Magnus;Danemark;WT
Uno-X Mobility;DALBY Simon;Danemark;WT
Uno-X Mobility;DVERSNES Fredrik;Norvège;WT
Uno-X Mobility;FREDHEIM Stian;Norvège;WT
Uno-X Mobility;HOELGAARD Markus;Norvège;WT
Uno-X Mobility;HOLTER Ådne;Norvège;WT
Uno-X Mobility;HVIDEBERG Jonas Hem;Danemark;WT
Uno-X Mobility;INGEBRIGTSEN Storm;Norvège;WT
Uno-X Mobility;JOHANNESSEN Anders Halland;Norvège;WT
Uno-X Mobility;JOHANNESSEN Tobias Halland;Norvège;WT
Uno-X Mobility;KAMP Alexander;Danemark;WT
Uno-X Mobility;KRON Andreas;Danemark;WT
Uno-X Mobility;KULSET Johannes;Norvège;WT
Uno-X Mobility;LEKNESSUND Andreas;Norvège;WT
Uno-X Mobility;LØLAND Sakarias Koller;Norvège;WT
Uno-X Mobility;PEDERSEN Henrik;Danemark;WT
Uno-X Mobility;RESELL Erik Nordsæter;Norvège;WT
Uno-X Mobility;SKAARSETH Anders;Norvège;WT
Uno-X Mobility;SVARRE Tobias;Danemark;WT
Uno-X Mobility;TILLER Rasmus;Norvège;WT
Uno-X Mobility;TJØTTA Martin;Norvège;WT
Uno-X Mobility;TRÆEN Torstein;Norvège;WT
Uno-X Mobility;URIANSTAD BUGGE Martin;Norvège;WT
Uno-X Mobility;WÆRENSKJOLD Søren;Norvège;WT
XDS Astana Team;BALLERINI Davide;Italie;WT
XDS Astana Team;BETTIOL Alberto;Italie;WT
XDS Astana Team;CHAMPOUSSIN Clément;France;WT
XDS Astana Team;CONCI Nicola;Italie;WT
XDS Astana Team;FEDOROV Yevgeniy;Kazakhstan;WT
XDS Astana Team;FORTUNATO Lorenzo;Italie;WT
XDS Astana Team;GATE Aaron;Nouvelle-Zélande;WT
XDS Astana Team;GONOV Lev;Russie;WT
XDS Astana Team;HIGUITA Sergio;Colombie;WT
XDS Astana Team;KAJAMINI Florian Samuel;Italie;WT
XDS Astana Team;KANTER Max;Allemagne;WT
XDS Astana Team;KUZMIN Anton;Kazakhstan;WT
XDS Astana Team;LIVYNS Arjen;Belgique;WT
XDS Astana Team;LÓPEZ Harold Martín;Équateur;WT
XDS Astana Team;MALUCELLI Matteo;Italie;WT
XDS Astana Team;MULUBRHAN Henok;Érythrée;WT
XDS Astana Team;RODRÍGUEZ Cristian;Espagne;WT
XDS Astana Team;ROMELE Alessandro;Italie;WT
XDS Astana Team;SCARONI Christian;Italie;WT
XDS Astana Team;SCHRETTL Marco;Autriche;WT
XDS Astana Team;SILVA Guillermo Thomas;Uruguay;WT
XDS Astana Team;SU Haoyu;Chine;WT
XDS Astana Team;SYRITSA Gleb;Russie;WT
XDS Astana Team;TEJADA Harold;Colombie;WT
XDS Astana Team;TEUNISSEN Mike;Pays-Bas;WT
XDS Astana Team;TONEATTI Davide;Italie;WT
XDS Astana Team;ULISSI Diego;Italie;WT
XDS Astana Team;VAN BEKKUM Darren;Pays-Bas;WT
XDS Astana Team;VELASCO Simone;Italie;WT
XDS Astana Team;VINOKUROV Nicolas;Kazakhstan;WT
